赛区,场次号,红方学校,蓝方学校,局数,红胜局,蓝胜局,场总伤害,平均时长,胜方学校,红方类别,蓝方类别,序号,热力图,代表局号,代表局game_id,代表局总伤害,轨迹图
北部赛区,11,大连理工大学,沈阳理工大学,2,0,2,17261.0,420.0,沈阳理工大学,全国赛,复活赛,79,h2h_079_heatmap_大连理工大学_vs_沈阳理工大学.png,2,1780039913860,9736.0,h2h_079_paths_round2_大连理工大学_vs_沈阳理工大学.png
东部赛区,25,江南大学霞客湾校区,南方科技大学,2,2,0,17176.0,420.0,江南大学霞客湾校区,复活赛,复活赛,80,h2h_080_heatmap_江南大学霞客湾校区_vs_南方科技大学.png,2,1779419646097,9478.0,h2h_080_paths_round2_江南大学霞客湾校区_vs_南方科技大学.png
南部赛区,50,桂林电子科技大学,电子科技大学中山学院,2,0,2,16870.0,420.0,电子科技大学中山学院,复活赛,全国赛,81,h2h_081_heatmap_桂林电子科技大学_vs_电子科技大学中山学院.png,1,1778829037274,9204.0,h2h_081_paths_round1_桂林电子科技大学_vs_电子科技大学中山学院.png
南部赛区,81,桂林电子科技大学,广东工业大学,2,0,2,16806.0,420.0,广东工业大学,复活赛,复活赛,82,h2h_082_heatmap_桂林电子科技大学_vs_广东工业大学.png,1,1778981869637,9194.0,h2h_082_paths_round1_桂林电子科技大学_vs_广东工业大学.png
东部赛区,41,合肥工业大学（宣城校区）,山东科技大学,2,0,2,16779.0,420.0,山东科技大学,全国赛,全国赛,83,h2h_083_heatmap_合肥工业大学_宣城校区_vs_山东科技大学.png,1,1779496373411,8868.0,h2h_083_paths_round1_合肥工业大学_宣城校区_vs_山东科技大学.png
北部赛区,33,西北工业大学,西安电子科技大学,2,0,2,16607.0,420.0,西安电子科技大学,全国赛,复活赛,84,h2h_084_heatmap_西北工业大学_vs_西安电子科技大学.png,2,1780130263739,8845.0,h2h_084_paths_round2_西北工业大学_vs_西安电子科技大学.png
北部赛区,86,长安大学,西安电子科技大学,2,2,0,16601.0,420.0,长安大学,全国赛,复活赛,85,h2h_085_heatmap_长安大学_vs_西安电子科技大学.png,1,1780378110009,8578.0,h2h_085_paths_round1_长安大学_vs_西安电子科技大学.png
东部赛区,42,江南大学霞客湾校区,浙江大学,2,0,2,16502.0,420.0,浙江大学,复活赛,全国赛,86,h2h_086_heatmap_江南大学霞客湾校区_vs_浙江大学.png,2,1779498722309,9723.0,h2h_086_paths_round2_江南大学霞客湾校区_vs_浙江大学.png
东部赛区,38,南京航空航天大学金城学院,中国矿业大学,2,2,0,16466.0,420.0,南京航空航天大学金城学院,复活赛,复活赛,87,h2h_087_heatmap_南京航空航天大学金城学院_vs_中国矿业大学.png,1,1779452330931,9326.0,h2h_087_paths_round1_南京航空航天大学金城学院_vs_中国矿业大学.png
北部赛区,85,山东理工大学,大连理工大学,2,0,2,16018.0,420.0,大连理工大学,复活赛,全国赛,88,h2h_088_heatmap_山东理工大学_vs_大连理工大学.png,1,1780376612085,8179.0,h2h_088_paths_round1_山东理工大学_vs_大连理工大学.png
南部赛区,56,南华大学,深圳技术大学,2,0,2,15862.0,420.0,深圳技术大学,复活赛,复活赛,89,h2h_089_heatmap_南华大学_vs_深圳技术大学.png,2,1778842202821,8273.0,h2h_089_paths_round2_南华大学_vs_深圳技术大学.png
东部赛区,7,华东理工大学,中国矿业大学,2,2,0,15663.0,420.0,华东理工大学,全国赛,复活赛,90,h2h_090_heatmap_华东理工大学_vs_中国矿业大学.png,2,1779340406572,8296.0,h2h_090_paths_round2_华东理工大学_vs_中国矿业大学.png
南部赛区,75,五邑大学,电子科技大学中山学院,2,2,0,15589.0,420.0,五邑大学,全国赛,全国赛,91,h2h_091_heatmap_五邑大学_vs_电子科技大学中山学院.png,1,1778934392734,7923.0,h2h_091_paths_round1_五邑大学_vs_电子科技大学中山学院.png
东部赛区,72,南京理工大学,南方科技大学,2,2,0,15101.0,420.0,南京理工大学,全国赛,复活赛,92,h2h_092_heatmap_南京理工大学_vs_南方科技大学.png,1,1779613180708,9117.0,h2h_092_paths_round1_南京理工大学_vs_南方科技大学.png
北部赛区,17,西北工业大学,哈尔滨工业大学,2,2,0,12343.0,420.0,西北工业大学,全国赛,全国赛,93,h2h_093_heatmap_西北工业大学_vs_哈尔滨工业大学.png,2,1780056975308,6659.0,h2h_093_paths_round2_西北工业大学_vs_哈尔滨工业大学.png
东部赛区,68,北京理工大学（珠海）,南京航空航天大学金城学院,2,2,0,11337.0,420.0,北京理工大学（珠海）,全国赛,复活赛,94,h2h_094_heatmap_北京理工大学_珠海_vs_南京航空航天大学金城学院.png,1,1779605093745,6747.0,h2h_094_paths_round1_北京理工大学_珠海_vs_南京航空航天大学金城学院.png
东部赛区,16,北京理工大学（珠海）,合肥工业大学（宣城校区）,2,0,2,11133.0,420.0,合肥工业大学（宣城校区）,全国赛,全国赛,95,h2h_095_heatmap_北京理工大学_珠海_vs_合肥工业大学_宣城校区.png,2,1779358859920,5791.0,h2h_095_paths_round2_北京理工大学_珠海_vs_合肥工业大学_宣城校区.png
北部赛区,8,长安大学,西安电子科技大学,2,0,2,9045.0,420.0,西安电子科技大学,全国赛,复活赛,96,h2h_096_heatmap_长安大学_vs_西安电子科技大学.png,2,1780034699553,5418.0,h2h_096_paths_round2_长安大学_vs_西安电子科技大学.png
